,boot,f,S,L,cov
327,326,2.0717541549614036,2.011789303840187,0.06524106620342632,1.0471045361088485
328,327,1.9180727139705456,1.9167714413552188,0.004281847500909878,1.0147969082810882
329,328,2.1186242091206906,1.7408544776656396,-0.22354516599839988,0.7712422589647285
330,329,1.6831355168346607,2.017365672371764,0.07106359840226494,1.239367916540976
331,330,2.0989525932647006,2.0928226928984133,0.18791724391880085,1.2034850297791564
332,331,1.79467185600504,1.7873353404741998,-0.10231306102929656,0.8661213230135884
333,332,2.0878767250621713,1.820735297830396,-0.35585853402406814,0.7401547020807165
334,333,1.9469670108709554,1.70495007429473,-0.174832387105791,0.7710448952984135
335,334,1.5693291746707765,1.4886449363595817,-0.3004650498014744,0.6078826408932104
336,335,2.046858221587429,1.8849437994483753,-0.11779088759455505,0.8719987444840932
337,336,1.857654773725638,1.8143419709903001,-0.2681242091228015,0.8717480681554075
338,337,1.8277659652118414,1.601719553047064,-0.3032368906823607,0.637964436250711
339,338,2.027994809351277,1.7078342332835388,-0.3130267947207426,0.699958849619611
340,339,1.891549300089387,1.9224139466480354,-0.02375142302411795,1.0310995460341632
341,340,1.6071325787551634,1.6901594582604627,-0.1734220806280949,0.7741787001875696
342,341,1.9077502072743935,1.7125411158961603,-0.20178695802490457,0.7666193139580993
343,342,1.9658398787789653,2.189286493881606,0.20225851203222703,1.2979522986965422
344,343,1.677977239441649,1.6088702714497047,-0.2988211100382285,0.6614200641915391
345,344,2.04516264053624,1.687151898151038,-0.1827851162701196,0.7637698698742657
346,345,1.8387930514191961,1.6194391260822536,-0.13883090198899137,0.7556519298900574
347,346,1.9923563200538323,1.6638886112123845,-0.4689937960323248,0.5575904501397574
